date,goods_inflation
2017-01-01,118.9
2017-01-02,118.9
2017-01-03,118.9
2017-01-04,118.9
2017-01-05,118.9
2017-01-06,118.9
2017-01-07,118.9
2017-01-08,118.9
2017-01-09,118.9
2017-01-10,118.9
2017-01-11,118.9
2017-01-12,118.9
2017-01-13,118.9
2017-01-14,118.9
2017-01-15,118.9
2017-01-16,118.9
2017-01-17,118.9
2017-01-18,118.9
2017-01-19,118.9
2017-01-20,118.9
2017-01-21,118.9
2017-01-22,118.9
2017-01-23,118.9
2017-01-24,118.9
2017-01-25,118.9
2017-01-26,118.9
2017-01-27,118.9
2017-01-28,118.9
2017-01-29,118.9
2017-01-30,118.9
2017-01-31,118.9
2017-02-01,118.7
2017-02-02,118.7
2017-02-03,118.7
2017-02-04,118.7
2017-02-05,118.7
2017-02-06,118.7
2017-02-07,118.7
2017-02-08,118.7
2017-02-09,118.7
2017-02-10,118.7
2017-02-11,118.7
2017-02-12,118.7
2017-02-13,118.7
2017-02-14,118.7
2017-02-15,118.7
2017-02-16,118.7
2017-02-17,118.7
2017-02-18,118.7
2017-02-19,118.7
2017-02-20,118.7
2017-02-21,118.7
2017-02-22,118.7
2017-02-23,118.7
2017-02-24,118.7
2017-02-25,118.7
2017-02-26,118.7
2017-02-27,118.7
2017-02-28,118.7
2017-03-01,118.8
2017-03-02,118.8
2017-03-03,118.8
2017-03-04,118.8
2017-03-05,118.8
2017-03-06,118.8
2017-03-07,118.8
2017-03-08,118.8
2017-03-09,118.8
2017-03-10,118.8
2017-03-11,118.8
2017-03-12,118.8
2017-03-13,118.8
2017-03-14,118.8
2017-03-15,118.8
2017-03-16,118.8
2017-03-17,118.8
2017-03-18,118.8
2017-03-19,118.8
2017-03-20,118.8
2017-03-21,118.8
2017-03-22,118.8
2017-03-23,118.8
2017-03-24,118.8
2017-03-25,118.8
2017-03-26,118.8
2017-03-27,118.8
2017-03-28,118.8
2017-03-29,118.8
2017-03-30,118.8
2017-03-31,118.8
2017-04-01,119.5
2017-04-02,119.5
2017-04-03,119.5
2017-04-04,119.5
2017-04-05,119.5
2017-04-06,119.5
2017-04-07,119.5
2017-04-08,119.5
2017-04-09,119.5
2017-04-10,119.5
2017-04-11,119.5
2017-04-12,119.5
2017-04-13,119.5
2017-04-14,119.5
2017-04-15,119.5
2017-04-16,119.5
2017-04-17,119.5
2017-04-18,119.5
2017-04-19,119.5
2017-04-20,119.5
2017-04-21,119.5
2017-04-22,119.5
2017-04-23,119.5
2017-04-24,119.5
2017-04-25,119.5
2017-04-26,119.5
2017-04-27,119.5
2017-04-28,119.5
2017-04-29,119.5
2017-04-30,119.5
2017-05-01,119.0
2017-05-02,119.0
2017-05-03,119.0
2017-05-04,119.0
2017-05-05,119.0
2017-05-06,119.0
2017-05-07,119.0
2017-05-08,119.0
2017-05-09,119.0
2017-05-10,119.0
2017-05-11,119.0
2017-05-12,119.0
2017-05-13,119.0
2017-05-14,119.0
2017-05-15,119.0
2017-05-16,119.0
2017-05-17,119.0
2017-05-18,119.0
2017-05-19,119.0
2017-05-20,119.0
2017-05-21,119.0
2017-05-22,119.0
2017-05-23,119.0
2017-05-24,119.0
2017-05-25,119.0
2017-05-26,119.0
2017-05-27,119.0
2017-05-28,119.0
2017-05-29,119.0
2017-05-30,119.0
