date,FXAUDCAD,FXCHFCAD,FXCNYCAD,FXEURCAD,FXGBPCAD,FXJPYCAD,FXMXNCAD,FXNZDCAD,FXSEKCAD,FXUSDCAD,canada_interest_rate,us_interest_rate,goods_inflation,services_inflation,DJIA,SP500,NASDAQCOM
2017-01-01,0.9702,1.3064,0.1935,1.3973,1.6459,0.0114,0.06439,0.9295,0.1465,1.3334,0.5,3.75,118.9,140.2,19762.6,2238.83,5383.12
2017-01-02,0.9702,1.3064,0.1938,1.3973,1.6459,0.0114,0.06439,0.9295,0.1465,1.3287,0.5,3.75,118.9,140.2,19762.6,2238.83,5383.12
2017-01-03,0.9702,1.3064,0.193,1.3973,1.6459,0.0114,0.06439,0.9295,0.1465,1.3435,0.5,3.75,118.9,140.2,19881.76,2257.83,5429.08
2017-01-04,0.9678,1.3005,0.192,1.393,1.6377,0.01134,0.06242,0.9251,0.146,1.3315,0.5,3.75,118.9,140.2,19942.16,2270.75,5477.0
2017-01-05,0.9708,1.3083,0.1922,1.4008,1.64,0.01145,0.06195,0.9285,0.1468,1.3244,0.5,3.75,118.9,140.2,19899.29,2269.0,5487.94
2017-01-06,0.9668,1.302,0.1911,1.3953,1.6275,0.01133,0.06213,0.923,0.1461,1.3214,0.5,3.75,118.9,140.2,19963.8,2276.98,5521.06
2017-01-07,0.9668,1.302,0.1911,1.3953,1.6275,0.01133,0.06213,0.923,0.1461,1.3214,0.5,3.75,118.9,140.2,19963.8,2276.98,5521.06
2017-01-08,0.9668,1.302,0.1911,1.3953,1.6275,0.01133,0.06213,0.923,0.1461,1.3214,0.5,3.75,118.9,140.2,19963.8,2276.98,5521.06
2017-01-09,0.9728,1.302,0.1907,1.3967,1.6084,0.01138,0.06202,0.9276,0.146,1.324,0.5,3.75,118.9,140.2,19887.38,2268.9,5531.82
2017-01-10,0.9732,1.3012,0.1909,1.397,1.6075,0.01141,0.06113,0.9236,0.1458,1.3213,0.5,3.75,118.9,140.2,19855.53,2268.9,5551.82
2017-01-11,0.9788,1.2976,0.1905,1.3916,1.6056,0.0114,0.0604,0.9274,0.1455,1.325,0.5,3.75,118.9,140.2,19954.28,2275.32,5563.65
2017-01-12,0.9842,1.3008,0.1903,1.3966,1.6024,0.01148,0.06041,0.9348,0.1469,1.3106,0.5,3.75,118.9,140.2,19891.0,2270.44,5547.49
2017-01-13,0.9831,1.3016,0.1903,1.3967,1.5996,0.01144,0.06075,0.9339,0.1473,1.3141,0.5,3.75,118.9,140.2,19885.73,2274.64,5574.12
2017-01-14,0.9831,1.3016,0.1903,1.3967,1.5996,0.01144,0.06075,0.9339,0.1473,1.3141,0.5,3.75,118.9,140.2,19885.73,2274.64,5574.12
2017-01-15,0.9831,1.3016,0.1903,1.3967,1.5996,0.01144,0.06075,0.9339,0.1473,1.3141,0.5,3.75,118.9,140.2,19885.73,2274.64,5574.12
2017-01-16,0.9837,1.3013,0.1907,1.395,1.5865,0.01153,0.06075,0.9345,0.147,1.3152,0.5,3.75,118.9,140.2,19885.73,2274.64,5574.12
2017-01-17,0.9856,1.303,0.1905,1.397,1.616,0.01156,0.06055,0.9394,0.1467,1.3057,0.5,3.75,118.9,140.2,19826.77,2267.89,5538.73
2017-01-18,0.9933,1.3119,0.1925,1.4052,1.6192,0.0116,0.06033,0.945,0.1475,1.3099,0.5,3.75,118.9,140.2,19804.72,2271.89,5555.65
2017-01-19,1.0051,1.3197,0.1938,1.4159,1.6399,0.01157,0.06075,0.9551,0.1484,1.3303,0.5,3.75,118.9,140.2,19732.4,2263.69,5540.08
2017-01-20,1.0066,1.3275,0.194,1.4242,1.6453,0.01162,0.06147,0.9546,0.1497,1.3356,0.5,3.75,118.9,140.2,19827.25,2271.31,5555.33
2017-01-21,1.0066,1.3275,0.194,1.4242,1.6453,0.01162,0.06147,0.9546,0.1497,1.3356,0.5,3.75,118.9,140.2,19827.25,2271.31,5555.33
2017-01-22,1.0066,1.3275,0.194,1.4242,1.6453,0.01162,0.06147,0.9546,0.1497,1.3356,0.5,3.75,118.9,140.2,19827.25,2271.31,5555.33
2017-01-23,1.006,1.3297,0.1939,1.4266,1.6584,0.01174,0.06202,0.9586,0.1502,1.3291,0.5,3.75,118.9,140.2,19799.85,2265.2,5552.94
2017-01-24,0.9991,1.3175,0.1921,1.4156,1.6465,0.01161,0.06163,0.9558,0.149,1.3174,0.5,3.75,118.9,140.2,19912.71,2280.07,5600.96
2017-01-25,0.9886,1.3086,0.1901,1.4052,1.6495,0.01152,0.06138,0.9496,0.1482,1.3088,0.5,3.75,118.9,140.2,20068.51,2298.37,5656.34
2017-01-26,0.9878,1.3105,0.1904,1.4001,1.6492,0.01145,0.0619,0.9487,0.1481,1.3103,0.5,3.75,118.9,140.2,20100.91,2296.68,5655.18
2017-01-27,0.9909,1.3134,0.1907,1.4036,1.6469,0.0114,0.06251,0.9533,0.1484,1.3123,0.5,3.75,118.9,140.2,20093.78,2294.69,5660.78
2017-01-28,0.9909,1.3134,0.1907,1.4036,1.6469,0.0114,0.06251,0.9533,0.1484,1.3123,0.5,3.75,118.9,140.2,20093.78,2294.69,5660.78
2017-01-29,0.9909,1.3134,0.1907,1.4036,1.6469,0.0114,0.06251,0.9533,0.1484,1.3123,0.5,3.75,118.9,140.2,20093.78,2294.69,5660.78
2017-01-30,0.9902,1.3144,0.1906,1.4002,1.6388,0.01151,0.06318,0.9541,0.1483,1.3114,0.5,3.75,118.9,140.2,19971.13,2280.9,5613.71
