date,us_dollar_index
2017-01-01,103.146
2017-01-02,103.146
2017-01-03,103.146
2017-01-04,102.649
2017-01-05,101.453
2017-01-06,102.139
2017-01-07,101.844
2017-01-08,101.844
2017-01-09,101.844
2017-01-10,101.921
2017-01-11,101.672
2017-01-12,101.292
2017-01-13,101.118
2017-01-14,101.118
2017-01-15,101.118
2017-01-16,101.118
2017-01-17,100.22
2017-01-18,100.813
2017-01-19,101.039
2017-01-20,100.58
2017-01-21,100.04
2017-01-22,100.04
2017-01-23,100.04
2017-01-24,100.249
2017-01-25,99.924
2017-01-26,100.275
2017-01-27,100.421
2017-01-28,100.329
2017-01-29,100.329
2017-01-30,100.329
2017-01-31,99.426
2017-02-01,99.533
2017-02-02,99.713
2017-02-03,99.752
2017-02-04,99.775
2017-02-05,99.775
2017-02-06,99.775
2017-02-07,100.175
2017-02-08,100.204
2017-02-09,100.562
2017-02-10,100.721
2017-02-11,100.885
2017-02-12,100.885
2017-02-13,100.885
2017-02-14,101.148
2017-02-15,101.089
2017-02-16,100.365
2017-02-17,100.871
2017-02-18,100.871
2017-02-19,100.871
2017-02-20,100.871
2017-02-21,101.28
2017-02-22,101.124
2017-02-23,100.998
2017-02-24,101.04
2017-02-25,101.079
2017-02-26,101.079
2017-02-27,101.079
2017-02-28,101.049
2017-03-01,101.68
2017-03-02,102.104
2017-03-03,101.433
2017-03-04,101.525
2017-03-05,101.525
2017-03-06,101.525
2017-03-07,101.685
2017-03-08,101.951
2017-03-09,101.718
2017-03-10,101.107
2017-03-11,101.195
2017-03-12,101.195
2017-03-13,101.195
2017-03-14,101.409
2017-03-15,100.43
2017-03-16,100.03
2017-03-17,99.96
2017-03-18,100.074
2017-03-19,100.074
2017-03-20,100.074
2017-03-21,99.464
2017-03-22,99.318
2017-03-23,99.413
2017-03-24,99.292
2017-03-25,98.818
2017-03-26,98.818
2017-03-27,98.818
2017-03-28,99.389
2017-03-29,99.686
2017-03-30,100.125
2017-03-31,100.058
2017-04-01,100.252
2017-04-02,100.252
2017-04-03,100.252
2017-04-04,100.266
2017-04-05,100.281
2017-04-06,100.415
2017-04-07,100.947
2017-04-08,100.787
2017-04-09,100.787
2017-04-10,100.787
2017-04-11,100.452
2017-04-12,100.541
2017-04-13,100.298
2017-04-14,100.034
2017-04-15,100.034
2017-04-16,100.034
2017-04-17,100.034
2017-04-18,99.244
2017-04-19,99.473
2017-04-20,99.525
2017-04-21,99.72
2017-04-22,98.823
2017-04-23,98.823
2017-04-24,98.823
2017-04-25,98.498
2017-04-26,98.76
2017-04-27,98.795
2017-04-28,98.743
2017-04-29,98.775
2017-04-30,98.775
2017-05-01,98.775
2017-05-02,98.674
2017-05-03,98.912
2017-05-04,98.477
2017-05-05,98.353
2017-05-06,98.756
2017-05-07,98.756
